user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,price,store_id,email,username,raw_timestamp
1028,2026-06-13,West,Clothing,1299.97,Delhi,22,Standard,1494.3,18,user1@example.com,user_1,2026-06-13 02:00:00
1108,2026-06-01,West,Electronics,559.11,Delhi,48,Standard,101.75,7,user2@example.com,user_2,2026-06-01 22:00:00
1179,2026-06-16,South,Furniture,2301.12,Mumbai,16,Premium,1411.37,11,,user_3,2026-06-16 08:00:00
1055,2026-02-09,North,Electronics,554.45,Jaipur,38,Basic,1227.27,2,user4@example.com,user_4,2026-02-09 23:00:00
1137,2026-04-28,West,Groceries,486.12,Mumbai,56,Standard,1776.63,12,user5@example.com,user_5,2026-04-28 18:00:00
1180,2026-02-19,West,Electronics,3340.19,Mumbai,21,Premium,1739.64,13,user6@example.com,user_6,2026-02-19 08:00:00
1162,2026-04-27,North,Furniture,1913.89,Delhi,58,Basic,1418.55,3,user7@example.com,user_7,2026-04-27 19:00:00
1043,2026-06-12,East,Furniture,2365.08,Mumbai,56,Standard,1136.05,11,user8@example.com,user_8,2026-06-12 01:00:00
1008,2026-02-28,North,Groceries,1411.93,Delhi,52,Standard,663.62,16,user9@example.com,user_9,2026-02-28 12:00:00
1117,2026-06-14,East,Clothing,784.19,Hyderabad,51,Standard,562.35,19,user10@example.com,user_10,2026-06-14 13:00:00
1102,2026-05-30,North,Furniture,4986.9,Delhi,48,Basic,227.27,2,user11@example.com,user_11,2026-05-30 03:00:00
1160,2026-02-09,East,Groceries,3022.4,Pune,40,Standard,1992.44,17,user12@example.com,user_12,2026-02-09 08:00:00
1002,2026-05-22,West,Clothing,3866.13,Mumbai,23,Basic,897.79,15,user13@example.com,user_13,2026-05-22 00:00:00
1128,2026-03-09,East,Electronics,4365.54,Mumbai,56,Standard,1237.49,5,user14@example.com,user_14,2026-03-09 11:00:00
1138,2026-02-11,West,Clothing,2494.17,Jaipur,39,Basic,516.93,8,user15@example.com,user_15,2026-02-11 18:00:00
1021,2026-01-21,South,Electronics,4892.12,Bengaluru,24,Premium,1336.51,18,user16@example.com,user_16,2026-01-21 05:00:00
1135,2026-03-09,South,Furniture,4651.68,Hyderabad,60,Premium,1440.25,13,user17@example.com,user_17,2026-03-09 21:00:00
1095,2026-06-16,South,Groceries,692.92,Delhi,20,Basic,91.02,18,user18@example.com,user_18,2026-06-16 07:00:00
1056,2026-05-31,West,Electronics,3568.42,Jaipur,30,Premium,1815.57,11,user19@example.com,user_19,2026-05-31 02:00:00
1060,2026-05-12,North,Groceries,1149.76,Delhi,52,Standard,971.71,16,user20@example.com,user_20,2026-05-12 13:00:00
1024,2026-02-18,West,Groceries,1836.06,Pune,45,Standard,155.63,4,user21@example.com,user_21,2026-02-18 01:00:00
1186,2026-04-14,North,Electronics,1318.42,Delhi,50,Basic,323.36,6,user22@example.com,user_22,2026-04-14 08:00:00
1063,2026-04-29,West,Groceries,4059.31,Bengaluru,22,Premium,1321.68,18,user23@example.com,user_23,2026-04-29 00:00:00
1192,2026-01-24,East,Furniture,2091.43,Pune,29,Basic,1809.76,6,user24@example.com,user_24,2026-01-24 12:00:00
1099,2026-01-01,North,Groceries,1497.72,Hyderabad,51,Standard,1450.9,5,user25@example.com,user_25,2026-01-01 06:00:00
1055,2026-03-17,West,Electronics,3765.08,Jaipur,19,Standard,979.74,17,user26@example.com,user_26,2026-03-17 05:00:00
1130,2026-01-15,West,Furniture,435.75,Jaipur,59,Premium,837.36,19,user27@example.com,user_27,2026-01-15 07:00:00
1152,2026-05-29,West,Electronics,2154.2,Bengaluru,52,Standard,666.92,9,user28@example.com,user_28,2026-05-29 06:00:00
1183,2026-06-21,North,Furniture,1401.51,Delhi,58,Standard,634.99,11,user29@example.com,user_29,2026-06-21 02:00:00
1117,2026-01-03,West,Electronics,2734.41,Bengaluru,32,Premium,1869.86,3,user30@example.com,user_30,2026-01-03 07:00:00
1072,2026-04-05,East,Groceries,4185.35,Hyderabad,35,Standard,1968.51,17,user31@example.com,user_31,2026-04-05 00:00:00
1141,2026-06-20,North,Electronics,4700.76,Delhi,32,Premium,1784.94,18,user32@example.com,user_32,2026-06-20 04:00:00
1072,2026-03-11,East,Clothing,1097.63,Hyderabad,32,Standard,1002.64,2,user33@example.com,user_33,2026-03-11 02:00:00
1108,2026-06-12,North,Electronics,117.37,Delhi,56,Basic,365.08,15,user34@example.com,user_34,2026-06-12 17:00:00
1109,2026-06-30,West,Electronics,468.69,Hyderabad,25,Standard,120.25,12,user35@example.com,user_35,2026-06-30 18:00:00
1037,2026-05-22,South,Furniture,304.96,Mumbai,18,Basic,459.65,8,user36@example.com,user_36,2026-05-22 21:00:00
1090,2026-01-27,South,Furniture,4636.24,Delhi,26,Premium,1768.76,1,user37@example.com,user_37,2026-01-27 05:00:00
1200,2026-03-27,South,Furniture,1407.35,Hyderabad,22,Basic,1750.73,16,user38@example.com,user_38,2026-03-27 07:00:00
1117,2026-02-21,North,Clothing,4120.63,Delhi,30,Premium,1337.06,13,user39@example.com,user_39,2026-02-21 10:00:00
1017,2026-03-13,North,Clothing,3243.26,Pune,59,Standard,695.74,1,user40@example.com,user_40,2026-03-13 03:00:00
